name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,115.41,,115.41,115.41,115.41,115.41,115.41,0.8333984375,,0.8333984375,0.8333984375,0.8333984375,0.8333984375,0.8333984375,master
spark-worker-1,166.87,,166.87,166.87,166.87,166.87,166.87,0.21923828125,,0.21923828125,0.21923828125,0.21923828125,0.21923828125,0.21923828125,worker_1
spark-worker-2,173.93,,173.93,173.93,173.93,173.93,173.93,0.25068359375,,0.25068359375,0.25068359375,0.25068359375,0.25068359375,0.25068359375,worker_2
spark-worker-3,173.39,,173.39,173.39,173.39,173.39,173.39,0.2376953125,,0.2376953125,0.2376953125,0.2376953125,0.2376953125,0.2376953125,worker_3
spark-worker-4,168.08,,168.08,168.08,168.08,168.08,168.08,0.24775390625,,0.24775390625,0.24775390625,0.24775390625,0.24775390625,0.24775390625,worker_4
spark-worker-5,170.65,,170.65,170.65,170.65,170.65,170.65,0.233984375,,0.233984375,0.233984375,0.233984375,0.233984375,0.233984375,worker_5
