name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
dask-notebook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913671875,0.0,0.0913671875,0.0913671875,0.0913671875,0.0913671875,0.0913671875,dask_notebook
dask-scheduler,4.986666666666667,3.648634447753479,2.4,9.16,3.4,2.9,6.28,0.21412760416666665,0.0837005978154657,0.11748046875,0.26298828125,0.2619140625,0.189697265625,0.262451171875,dask_scheduler
dask-worker-1,53.72666666666667,49.02708061197743,5.34,103.37,52.47,28.905,77.92,1.2672955729166666,1.2582345674112683,0.473046875,2.718,0.61083984375,0.541943359375,1.664419921875,dask_worker_1
dask-worker-2,21.596666666666668,26.892293195882964,5.42,52.64,6.73,6.075,29.685000000000002,0.7076171875,0.2501323540334232,0.4205078125,0.87841796875,0.82392578125,0.6222167968750001,0.851171875,dask_worker_2
dask-worker-3,123.24333333333333,102.50167917323762,5.46,192.23,172.04,88.75,182.135,3.0986666666666665,1.6150363257008593,1.304,4.435,3.557,2.4305,3.9959999999999996,dask_worker_3
dask-worker-4,70.75,61.23103461480951,5.21,126.49,80.55,42.879999999999995,103.52,4.126666666666666,1.3033066919698268,3.315,5.63,3.435,3.375,4.5325,dask_worker_4
dask-worker-5,70.32333333333334,56.48715458697962,5.5,109.0,96.47,50.985,102.735,3.2419999999999995,0.9200766272436227,2.582,4.293,2.851,2.7165,3.572,dask_worker_5
