name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
dask-notebook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913671875,0.0,0.0913671875,0.0913671875,0.0913671875,0.0913671875,0.0913671875,dask_notebook
dask-scheduler,7.286666666666666,3.84506610259607,4.66,11.7,5.5,5.08,8.6,0.2537434895833333,0.00029834477180703417,0.25341796875,0.25400390625,0.25380859375,0.25361328125,0.25390625,dask_scheduler
dask-worker-1,92.92,14.762015445053573,83.46,109.93,85.37,84.41499999999999,97.65,1.2735677083333332,0.5846717145144403,0.745703125,1.902,1.173,0.9593515625,1.5375,dask_worker_1
dask-worker-2,95.67666666666666,13.70341684884954,81.8,109.2,96.03,88.91499999999999,102.61500000000001,1.8523333333333334,0.7304808918331356,1.187,2.634,1.736,1.4615,2.185,dask_worker_2
dask-worker-3,142.17999999999998,12.086343533095533,128.7,152.05,145.79,137.245,148.92000000000002,2.2053333333333334,0.27581575976244227,1.887,2.373,2.356,2.1215,2.3645,dask_worker_3
dask-worker-4,170.11,19.13586423446821,151.83,190.0,168.5,160.16500000000002,179.25,4.280666666666667,0.715033099466964,3.681,5.072,4.089,3.8850000000000002,4.580500000000001,dask_worker_4
dask-worker-5,91.91333333333334,15.727289446479105,82.52,110.07,83.15,82.83500000000001,96.61,3.317,0.3275194650703984,3.072,3.689,3.19,3.1310000000000002,3.4395,dask_worker_5
