timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250621_000026,72ce1ac59689,dask-scheduler,2.77%,114.2MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000026,22466015deda,dask-notebook,0.00%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000034,42c55abb1696,dask-worker-4,5.47%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000034,ce7f0b48274e,dask-worker-3,5.15%,118.9MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000034,01cf5d2b270d,dask-worker-5,5.49%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000034,b716fcb2dffe,dask-worker-2,5.62%,281.9MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000034,7dbd0776c6fb,dask-worker-1,5.37%,109.2MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250621_000034,72ce1ac59689,dask-scheduler,2.50%,114.3MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000034,22466015deda,dask-notebook,0.00%,93.56MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000041,42c55abb1696,dask-worker-4,5.52%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000041,ce7f0b48274e,dask-worker-3,5.58%,119.3MiB / 10GiB,1.17%,4.24GB / 8.08GB,0B / 0B,13
20250621_000041,01cf5d2b270d,dask-worker-5,5.87%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000041,b716fcb2dffe,dask-worker-2,5.78%,281.8MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000041,7dbd0776c6fb,dask-worker-1,5.52%,109.4MiB / 10GiB,1.07%,2.02GB / 5.2GB,0B / 0B,13
20250621_000041,72ce1ac59689,dask-scheduler,2.49%,114.2MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000041,22466015deda,dask-notebook,0.00%,93.57MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000048,42c55abb1696,dask-worker-4,6.19%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000048,ce7f0b48274e,dask-worker-3,6.20%,119.2MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000048,01cf5d2b270d,dask-worker-5,5.85%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000048,b716fcb2dffe,dask-worker-2,5.89%,281.7MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000048,7dbd0776c6fb,dask-worker-1,5.76%,110.8MiB / 10GiB,1.08%,2.02GB / 5.2GB,0B / 0B,13
20250621_000048,72ce1ac59689,dask-scheduler,2.68%,114.4MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
20250621_000048,22466015deda,dask-notebook,0.00%,93.57MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000056,42c55abb1696,dask-worker-4,5.30%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000056,ce7f0b48274e,dask-worker-3,5.31%,119.2MiB / 10GiB,1.16%,4.24GB / 8.08GB,0B / 0B,13
20250621_000056,01cf5d2b270d,dask-worker-5,5.22%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000056,b716fcb2dffe,dask-worker-2,5.47%,281.7MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000056,7dbd0776c6fb,dask-worker-1,5.38%,110.7MiB / 10GiB,1.08%,2.02GB / 5.2GB,0B / 0B,13
20250621_000056,72ce1ac59689,dask-scheduler,2.33%,114.6MiB / 4GiB,2.80%,12.9GB / 3.95GB,0B / 0B,16
20250621_000056,22466015deda,dask-notebook,0.00%,93.59MiB / 55.91GiB,0.16%,2.41kB / 126B,0B / 0B,14
20250621_000104,42c55abb1696,dask-worker-4,6.43%,3.105GiB / 10GiB,31.05%,10.3GB / 11.1GB,0B / 0B,32
20250621_000104,ce7f0b48274e,dask-worker-3,6.33%,119.3MiB / 10GiB,1.17%,4.24GB / 8.08GB,0B / 0B,13
20250621_000104,01cf5d2b270d,dask-worker-5,6.12%,2.773GiB / 10GiB,27.73%,2.22GB / 3.44GB,0B / 0B,31
20250621_000104,b716fcb2dffe,dask-worker-2,6.14%,281.7MiB / 10GiB,2.75%,2.98GB / 2.86GB,0B / 0B,17
20250621_000104,7dbd0776c6fb,dask-worker-1,6.04%,110.8MiB / 10GiB,1.08%,2.02GB / 5.2GB,0B / 0B,13
20250621_000104,72ce1ac59689,dask-scheduler,2.78%,114.4MiB / 4GiB,2.79%,12.9GB / 3.95GB,0B / 0B,16
