name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,1.7112500000000002,2.115277365579591,0.31,7.23,0.845,0.635,1.4725,0.87174072265625,0.005902066156712638,0.86474609375,0.880078125,0.872265625,0.866064453125,0.8759765625,master
spark-worker-1,72.53375,79.4390484060998,0.22,179.08,15.725,13.4775,169.60500000000002,5.4069375,0.3141287355527986,4.283,5.524,5.524,5.48875,5.524,worker_1
spark-worker-2,71.6975,67.00087377539688,0.13,175.16,60.17,13.272499999999999,124.06,4.3164375,0.11875575424654812,4.168,4.41,4.395,4.168,4.41,worker_2
spark-worker-3,66.719375,71.96440374414286,0.23,175.84,23.990000000000002,13.5075,139.20000000000002,4.6195,0.000516397779494528,4.619,4.62,4.6195,4.619,4.62,worker_3
spark-worker-4,74.716875,76.56854190582014,0.12,185.32,17.240000000000002,13.7025,172.51749999999998,5.4040625,0.0005737304826023691,5.403,5.405,5.404,5.404,5.404,worker_4
spark-worker-5,67.65375,74.19283019043462,0.2,179.16,16.07,13.48,160.9625,5.2088125000000005,0.0011086778913040848,5.207,5.21,5.208,5.208,5.21,worker_5
