name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,29.34225806451613,36.81812196094721,0.75,156.14,15.54,3.525,46.515,0.8364226310483871,0.028613175526314837,0.71552734375,0.87314453125,0.84091796875,0.830029296875,0.848828125,master
spark-worker-1,93.54354838709678,66.5223549667522,0.27,207.77,87.25,39.91,149.68,2.1559173387096773,0.5672167277303618,0.57939453125,2.51,2.394,2.364,2.427,worker_1
spark-worker-2,92.05709677419355,68.65569712672787,0.15,198.84,69.39,31.685,160.89999999999998,2.043503402217742,0.565256672153963,0.6220703125,2.595,2.025,1.8295,2.5385,worker_2
spark-worker-3,101.10709677419355,73.5335981346191,0.1,204.23,81.5,44.5,173.06,1.8826675907258066,0.5769328907342032,0.54111328125,2.455,1.995,1.6005,2.393,worker_3
spark-worker-4,92.83516129032257,60.64961444620335,0.12,207.95,89.41,46.555,137.39499999999998,2.1947139616935485,0.5889718520529577,0.52607421875,2.634,2.531,2.2039999999999997,2.57,worker_4
spark-worker-5,98.82967741935485,62.329640914729644,0.14,203.61,105.14,52.515,147.03,2.069063004032258,0.5169132532523039,0.6201171875,2.473,2.247,2.085,2.406,worker_5
