name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,9.843,3.5939209476250005,6.1,18.62,9.845,7.234999999999999,10.5525,1.2879,0.026244364474429,1.249,1.333,1.283,1.2685,1.3074999999999999,master
spark-worker-1,13.65,10.846020263467867,3.51,32.2,11.265,5.0175,16.0675,1.6555,0.0022236106773543653,1.653,1.659,1.6555,1.6535,1.656,worker_1
spark-worker-2,13.315000000000001,9.231509145914936,5.38,31.81,9.43,6.2475,17.035,1.6606999999999998,0.00605621810850453,1.653,1.669,1.6615,1.6549999999999998,1.665,worker_2
spark-worker-3,13.527000000000001,11.656272560299882,3.47,35.29,9.75,4.305,17.005000000000003,1.5785,0.008514693182963228,1.573,1.595,1.5750000000000002,1.574,1.576,worker_3
spark-worker-4,13.294,8.389812870380362,3.89,29.38,12.645,5.9399999999999995,18.71,1.5816000000000001,0.001349897115421136,1.579,1.583,1.582,1.581,1.5827499999999999,worker_4
spark-worker-5,15.597,9.836183824137398,3.93,34.81,16.06,7.09,21.1925,1.7296,0.0012649110640674157,1.728,1.731,1.73,1.72825,1.73075,worker_5
