name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,25.863125,15.549100603679086,7.46,55.65,21.46,15.002500000000001,35.1075,1.0681875,0.027689272892825082,1.027,1.118,1.0755,1.04575,1.083,master
spark-worker-1,58.84625,39.33531744289517,12.83,148.06,47.215,35.1175,58.84,1.5381875,0.006605237820598773,1.527,1.548,1.5385,1.5335,1.5430000000000001,worker_1
spark-worker-2,63.192499999999995,33.80242545538214,24.38,134.79,56.754999999999995,34.085,89.435,1.4939375,0.01574153211518264,1.465,1.517,1.4995,1.4875,1.50325,worker_2
spark-worker-3,71.45125,41.77083972901031,26.63,171.08,58.985,44.935,84.64,1.74475,0.00864484432094266,1.729,1.753,1.7485,1.742,1.751,worker_3
spark-worker-4,74.97687499999999,44.32322487045213,34.53,150.27,49.97,36.1225,117.34,1.6089375000000001,0.11279389389501542,1.481,1.712,1.694,1.48575,1.709,worker_4
spark-worker-5,78.325625,43.235333076663125,33.8,160.38,54.08,42.63,110.19749999999999,1.6126875,0.10548663027448867,1.498,1.716,1.655,1.50075,1.713,worker_5
