name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,8.385111111111112,31.077180191246462,0.27,200.24,0.805,0.4525,1.7325,0.9662728298611111,0.06483442036597699,0.60244140625,1.005,0.986328125,0.9853515625,0.98828125,master
spark-worker-1,128.79544444444446,72.07063830701114,0.15,205.53,132.55,99.42500000000001,197.8775,3.8020465277777777,1.1396472559929567,0.34365234375,4.513,4.446,3.4212499999999997,4.447,worker_1
spark-worker-2,146.62977777777778,73.64519423328264,0.14,204.92,194.85000000000002,106.1775,198.0975,3.733331770833333,1.1838902825438924,0.33037109375,4.717,4.306,3.029,4.306,worker_2
spark-worker-3,162.32277777777776,70.7777023230469,0.11,211.5,196.905,180.3625,199.3075,3.9489504340277777,1.3634222382307366,0.31083984375,5.549,4.744,3.527,4.75,worker_3
spark-worker-4,124.08033333333333,73.27615182124629,0.13,205.67,120.14,98.935,197.6325,3.426469184027778,1.1182641797745887,0.31328125,5.082,3.613,3.344,3.614,worker_4
spark-worker-5,173.1052222222222,45.5246459050647,10.02,207.83,196.97,172.42000000000002,198.985,5.028780164930556,1.348983757938577,0.31162109375,6.275,5.24,4.9435,6.26575,worker_5
