timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_134056,ec39dfa29337,spark-worker-5,196.42%,927.4MiB / 10GiB,9.06%,5.4GB / 5.21GB,0B / 0B,122
20250618_134056,82e8dc373feb,spark-master,2.17%,771.7MiB / 4GiB,18.84%,46.8MB / 76MB,0B / 0B,263
20250618_134103,8896faf2c28a,spark-worker-3,196.08%,1.231GiB / 10GiB,12.31%,5.08GB / 5.42GB,0B / 0B,123
20250618_134103,bd3eccc510a1,spark-worker-2,197.26%,1.045GiB / 10GiB,10.45%,5.36GB / 5.17GB,0B / 0B,123
20250618_134103,72ea5f833e39,spark-worker-1,196.04%,1.023GiB / 10GiB,10.23%,5.3GB / 5.41GB,0B / 0B,122
20250618_134103,d9db3658c991,spark-worker-4,196.38%,1.113GiB / 10GiB,11.13%,5.41GB / 5.32GB,0B / 0B,122
20250618_134103,ec39dfa29337,spark-worker-5,197.77%,1007MiB / 10GiB,9.83%,5.4GB / 5.21GB,0B / 0B,122
20250618_134103,82e8dc373feb,spark-master,1.00%,771.8MiB / 4GiB,18.84%,46.8MB / 76MB,0B / 0B,263
20250618_134110,8896faf2c28a,spark-worker-3,109.64%,1.38GiB / 10GiB,13.80%,5.08GB / 5.42GB,0B / 0B,123
20250618_134110,bd3eccc510a1,spark-worker-2,196.51%,1.156GiB / 10GiB,11.56%,5.36GB / 5.17GB,0B / 0B,123
20250618_134110,72ea5f833e39,spark-worker-1,200.09%,1.125GiB / 10GiB,11.25%,5.3GB / 5.41GB,0B / 0B,122
20250618_134110,d9db3658c991,spark-worker-4,158.02%,1.113GiB / 10GiB,11.13%,5.41GB / 5.32GB,0B / 0B,122
20250618_134110,ec39dfa29337,spark-worker-5,192.70%,1007MiB / 10GiB,9.83%,5.4GB / 5.21GB,0B / 0B,122
20250618_134110,82e8dc373feb,spark-master,0.69%,771.6MiB / 4GiB,18.84%,46.9MB / 76MB,0B / 0B,262
20250618_134118,8896faf2c28a,spark-worker-3,197.66%,1.552GiB / 10GiB,15.52%,5.08GB / 5.42GB,0B / 0B,118
20250618_134118,bd3eccc510a1,spark-worker-2,198.19%,1.163GiB / 10GiB,11.63%,5.36GB / 5.17GB,0B / 0B,118
20250618_134118,72ea5f833e39,spark-worker-1,197.14%,1.259GiB / 10GiB,12.59%,5.3GB / 5.41GB,0B / 0B,117
20250618_134118,d9db3658c991,spark-worker-4,196.82%,1.233GiB / 10GiB,12.33%,5.41GB / 5.32GB,0B / 0B,117
20250618_134118,ec39dfa29337,spark-worker-5,198.36%,1.08GiB / 10GiB,10.80%,5.4GB / 5.21GB,0B / 0B,117
20250618_134118,82e8dc373feb,spark-master,1.05%,772MiB / 4GiB,18.85%,46.9MB / 76.1MB,0B / 0B,262
20250618_134126,8896faf2c28a,spark-worker-3,191.72%,1.556GiB / 10GiB,15.56%,5.08GB / 5.42GB,0B / 0B,118
20250618_134126,bd3eccc510a1,spark-worker-2,162.32%,1.288GiB / 10GiB,12.88%,5.36GB / 5.17GB,0B / 0B,118
20250618_134126,72ea5f833e39,spark-worker-1,117.84%,1.407GiB / 10GiB,14.07%,5.3GB / 5.41GB,0B / 0B,117
20250618_134126,d9db3658c991,spark-worker-4,200.12%,1.233GiB / 10GiB,12.33%,5.41GB / 5.32GB,0B / 0B,117
20250618_134126,ec39dfa29337,spark-worker-5,197.81%,1.084GiB / 10GiB,10.84%,5.4GB / 5.21GB,0B / 0B,117
20250618_134126,82e8dc373feb,spark-master,0.74%,777MiB / 4GiB,18.97%,47MB / 76.2MB,0B / 0B,250
20250618_134133,8896faf2c28a,spark-worker-3,184.16%,1.556GiB / 10GiB,15.56%,5.08GB / 5.42GB,0B / 0B,103
