timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250618_131817,ec39dfa29337,spark-worker-5,167.42%,2.32GiB / 10GiB,23.20%,4.29GB / 4.13GB,0B / 0B,108
20250618_131817,82e8dc373feb,spark-master,24.14%,804.4MiB / 4GiB,19.64%,34.1MB / 52.3MB,0B / 0B,243
20250618_131825,8896faf2c28a,spark-worker-3,184.45%,2.301GiB / 10GiB,23.01%,4.14GB / 4.34GB,0B / 0B,110
20250618_131825,bd3eccc510a1,spark-worker-2,180.47%,1.811GiB / 10GiB,18.11%,4.27GB / 4.15GB,0B / 0B,108
20250618_131825,72ea5f833e39,spark-worker-1,179.84%,1.655GiB / 10GiB,16.55%,4.29GB / 4.35GB,0B / 0B,108
20250618_131825,d9db3658c991,spark-worker-4,187.51%,2.076GiB / 10GiB,20.76%,4.26GB / 4.26GB,0B / 0B,110
20250618_131825,ec39dfa29337,spark-worker-5,185.85%,2.336GiB / 10GiB,23.36%,4.29GB / 4.13GB,0B / 0B,108
20250618_131825,82e8dc373feb,spark-master,18.71%,806MiB / 4GiB,19.68%,34.6MB / 53.4MB,0B / 0B,244
20250618_131831,8896faf2c28a,spark-worker-3,182.59%,2.307GiB / 10GiB,23.07%,4.14GB / 4.34GB,0B / 0B,110
20250618_131831,bd3eccc510a1,spark-worker-2,179.00%,1.824GiB / 10GiB,18.24%,4.28GB / 4.15GB,0B / 0B,108
20250618_131831,72ea5f833e39,spark-worker-1,201.25%,1.686GiB / 10GiB,16.86%,4.29GB / 4.35GB,0B / 0B,109
20250618_131831,d9db3658c991,spark-worker-4,168.95%,2.077GiB / 10GiB,20.77%,4.26GB / 4.26GB,0B / 0B,110
20250618_131831,ec39dfa29337,spark-worker-5,176.32%,2.349GiB / 10GiB,23.49%,4.29GB / 4.13GB,0B / 0B,108
20250618_131831,82e8dc373feb,spark-master,17.27%,806.8MiB / 4GiB,19.70%,34.9MB / 54.2MB,0B / 0B,244
20250618_131839,8896faf2c28a,spark-worker-3,153.82%,2.311GiB / 10GiB,23.11%,4.14GB / 4.34GB,0B / 0B,105
20250618_131839,bd3eccc510a1,spark-worker-2,161.56%,1.838GiB / 10GiB,18.38%,4.28GB / 4.15GB,0B / 0B,104
20250618_131839,72ea5f833e39,spark-worker-1,175.97%,1.699GiB / 10GiB,16.99%,4.29GB / 4.35GB,0B / 0B,105
20250618_131839,d9db3658c991,spark-worker-4,135.83%,2.084GiB / 10GiB,20.84%,4.26GB / 4.26GB,0B / 0B,105
20250618_131839,ec39dfa29337,spark-worker-5,164.67%,2.345GiB / 10GiB,23.45%,4.29GB / 4.13GB,0B / 0B,103
20250618_131839,82e8dc373feb,spark-master,37.63%,807.8MiB / 4GiB,19.72%,35.2MB / 54.9MB,0B / 0B,244
20250618_131847,8896faf2c28a,spark-worker-3,147.97%,2.318GiB / 10GiB,23.18%,4.14GB / 4.34GB,0B / 0B,99
20250618_131847,bd3eccc510a1,spark-worker-2,139.90%,1.836GiB / 10GiB,18.36%,4.28GB / 4.15GB,0B / 0B,97
20250618_131847,72ea5f833e39,spark-worker-1,165.79%,1.701GiB / 10GiB,17.01%,4.29GB / 4.35GB,0B / 0B,99
20250618_131847,d9db3658c991,spark-worker-4,126.89%,2.093GiB / 10GiB,20.93%,4.26GB / 4.26GB,0B / 0B,99
20250618_131847,ec39dfa29337,spark-worker-5,132.55%,2.336GiB / 10GiB,23.36%,4.29GB / 4.13GB,0B / 0B,97
20250618_131847,82e8dc373feb,spark-master,28.19%,805.6MiB / 4GiB,19.67%,35.7MB / 55.9MB,0B / 0B,210
20250618_131855,8896faf2c28a,spark-worker-3,191.02%,2.337GiB / 10GiB,23.37%,4.14GB / 4.34GB,0B / 0B,87
20250618_131855,bd3eccc510a1,spark-worker-2,174.70%,1.845GiB / 10GiB,18.45%,4.28GB / 4.15GB,0B / 0B,91
20250618_131855,72ea5f833e39,spark-worker-1,169.45%,1.715GiB / 10GiB,17.15%,4.29GB / 4.35GB,0B / 0B,92
20250618_131855,d9db3658c991,spark-worker-4,203.64%,2.101GiB / 10GiB,21.01%,4.26GB / 4.26GB,0B / 0B,87
20250618_131855,ec39dfa29337,spark-worker-5,152.61%,2.368GiB / 10GiB,23.68%,4.29GB / 4.13GB,0B / 0B,84
20250618_131855,82e8dc373feb,spark-master,14.44%,803.2MiB / 4GiB,19.61%,36MB / 56.8MB,0B / 0B,180
20250618_131902,8896faf2c28a,spark-worker-3,179.86%,2.336GiB / 10GiB,23.36%,4.14GB / 4.34GB,0B / 0B,83
20250618_131902,bd3eccc510a1,spark-worker-2,161.67%,1.851GiB / 10GiB,18.51%,4.28GB / 4.15GB,0B / 0B,83
20250618_131902,72ea5f833e39,spark-worker-1,179.52%,1.711GiB / 10GiB,17.11%,4.29GB / 4.35GB,0B / 0B,83
20250618_131902,d9db3658c991,spark-worker-4,155.37%,2.107GiB / 10GiB,21.07%,4.26GB / 4.26GB,0B / 0B,83
20250618_131902,ec39dfa29337,spark-worker-5,180.97%,2.357GiB / 10GiB,23.57%,4.29GB / 4.13GB,0B / 0B,81
20250618_131902,82e8dc373feb,spark-master,18.66%,799.3MiB / 4GiB,19.51%,36.4MB / 57.9MB,0B / 0B,147
20250618_131909,8896faf2c28a,spark-worker-3,143.56%,2.342GiB / 10GiB,23.42%,4.14GB / 4.34GB,0B / 0B,83
20250618_131909,bd3eccc510a1,spark-worker-2,148.64%,1.856GiB / 10GiB,18.56%,4.28GB / 4.15GB,0B / 0B,83
20250618_131909,72ea5f833e39,spark-worker-1,137.15%,1.716GiB / 10GiB,17.16%,4.29GB / 4.35GB,0B / 0B,83
20250618_131909,d9db3658c991,spark-worker-4,177.07%,2.114GiB / 10GiB,21.14%,4.26GB / 4.26GB,0B / 0B,83
20250618_131909,ec39dfa29337,spark-worker-5,148.51%,2.366GiB / 10GiB,23.66%,4.29GB / 4.13GB,0B / 0B,82
20250618_131909,82e8dc373feb,spark-master,17.04%,799.9MiB / 4GiB,19.53%,36.7MB / 58.7MB,0B / 0B,148
20250618_131917,8896faf2c28a,spark-worker-3,140.89%,2.349GiB / 10GiB,23.49%,4.14GB / 4.34GB,0B / 0B,83
20250618_131917,bd3eccc510a1,spark-worker-2,140.62%,2.124GiB / 10GiB,21.24%,4.28GB / 4.15GB,0B / 0B,83
20250618_131917,72ea5f833e39,spark-worker-1,152.52%,1.724GiB / 10GiB,17.24%,4.29GB / 4.35GB,0B / 0B,83
20250618_131917,d9db3658c991,spark-worker-4,141.12%,2.113GiB / 10GiB,21.13%,4.26GB / 4.26GB,0B / 0B,83
20250618_131917,ec39dfa29337,spark-worker-5,142.94%,2.366GiB / 10GiB,23.66%,4.29GB / 4.13GB,0B / 0B,82
20250618_131917,82e8dc373feb,spark-master,5.28%,800.1MiB / 4GiB,19.53%,37.2MB / 59.6MB,0B / 0B,148
20250618_131925,8896faf2c28a,spark-worker-3,50.04%,2.355GiB / 10GiB,23.55%,4.14GB / 4.34GB,0B / 0B,95
20250618_131925,bd3eccc510a1,spark-worker-2,0.23%,2.131GiB / 10GiB,21.31%,4.28GB / 4.15GB,0B / 0B,95
20250618_131925,72ea5f833e39,spark-worker-1,41.88%,1.73GiB / 10GiB,17.30%,4.29GB / 4.35GB,0B / 0B,95
20250618_131925,d9db3658c991,spark-worker-4,0.22%,2.12GiB / 10GiB,21.20%,4.26GB / 4.26GB,0B / 0B,95
20250618_131925,ec39dfa29337,spark-worker-5,0.24%,2.37GiB / 10GiB,23.70%,4.29GB / 4.13GB,0B / 0B,94
20250618_131925,82e8dc373feb,spark-master,19.97%,807.5MiB / 4GiB,19.71%,37.5MB / 60.4MB,0B / 0B,209
20250618_131933,8896faf2c28a,spark-worker-3,187.59%,2.406GiB / 10GiB,24.06%,4.24GB / 4.43GB,0B / 0B,107
20250618_131933,bd3eccc510a1,spark-worker-2,200.50%,2.163GiB / 10GiB,21.63%,4.37GB / 4.25GB,0B / 0B,107
20250618_131933,72ea5f833e39,spark-worker-1,195.66%,1.756GiB / 10GiB,17.56%,4.38GB / 4.45GB,0B / 0B,106
20250618_131933,d9db3658c991,spark-worker-4,198.48%,2.157GiB / 10GiB,21.57%,4.35GB / 4.36GB,0B / 0B,108
20250618_131933,ec39dfa29337,spark-worker-5,163.41%,2.411GiB / 10GiB,24.11%,4.39GB / 4.23GB,0B / 0B,110
20250618_131933,82e8dc373feb,spark-master,3.84%,821.1MiB / 4GiB,20.05%,37.6MB / 61.4MB,0B / 0B,250
20250618_131940,8896faf2c28a,spark-worker-3,204.48%,2.427GiB / 10GiB,24.27%,4.24GB / 4.43GB,0B / 0B,109
20250618_131940,bd3eccc510a1,spark-worker-2,193.91%,2.237GiB / 10GiB,22.37%,4.37GB / 4.25GB,0B / 0B,108
20250618_131940,72ea5f833e39,spark-worker-1,204.26%,1.798GiB / 10GiB,17.98%,4.38GB / 4.45GB,0B / 0B,108
20250618_131940,d9db3658c991,spark-worker-4,196.54%,2.188GiB / 10GiB,21.88%,4.35GB / 4.36GB,0B / 0B,107
20250618_131940,ec39dfa29337,spark-worker-5,200.25%,2.447GiB / 10GiB,24.47%,4.39GB / 4.23GB,0B / 0B,108
20250618_131940,82e8dc373feb,spark-master,0.48%,821MiB / 4GiB,20.04%,37.6MB / 61.4MB,0B / 0B,249
20250618_131948,8896faf2c28a,spark-worker-3,197.94%,2.422GiB / 10GiB,24.22%,4.24GB / 4.43GB,0B / 0B,109
20250618_131948,bd3eccc510a1,spark-worker-2,39.85%,2.238GiB / 10GiB,22.38%,4.37GB / 4.25GB,0B / 0B,108
20250618_131948,72ea5f833e39,spark-worker-1,196.43%,2.027GiB / 10GiB,20.27%,4.38GB / 4.45GB,0B / 0B,108
20250618_131948,d9db3658c991,spark-worker-4,196.61%,2.194GiB / 10GiB,21.94%,4.35GB / 4.36GB,0B / 0B,107
20250618_131948,ec39dfa29337,spark-worker-5,182.12%,2.467GiB / 10GiB,24.67%,4.39GB / 4.23GB,0B / 0B,108
20250618_131948,82e8dc373feb,spark-master,0.89%,821MiB / 4GiB,20.04%,37.6MB / 61.4MB,0B / 0B,249
20250618_131956,8896faf2c28a,spark-worker-3,18.53%,2.424GiB / 10GiB,24.24%,4.24GB / 4.5GB,0B / 0B,108
20250618_131956,bd3eccc510a1,spark-worker-2,200.62%,2.253GiB / 10GiB,22.53%,4.47GB / 4.29GB,0B / 0B,108
20250618_131956,72ea5f833e39,spark-worker-1,20.12%,2.483GiB / 10GiB,24.83%,4.38GB / 4.52GB,0B / 0B,108
20250618_131956,d9db3658c991,spark-worker-4,197.92%,2.231GiB / 10GiB,22.31%,4.45GB / 4.41GB,0B / 0B,107
20250618_131956,ec39dfa29337,spark-worker-5,195.02%,2.449GiB / 10GiB,24.49%,4.49GB / 4.28GB,0B / 0B,108
20250618_131956,82e8dc373feb,spark-master,0.70%,821.1MiB / 4GiB,20.05%,37.8MB / 61.5MB,0B / 0B,247
20250618_132003,8896faf2c28a,spark-worker-3,200.02%,2.464GiB / 10GiB,24.64%,4.33GB / 4.53GB,0B / 0B,102
20250618_132003,bd3eccc510a1,spark-worker-2,200.63%,2.249GiB / 10GiB,22.49%,4.47GB / 4.34GB,0B / 0B,102
20250618_132003,72ea5f833e39,spark-worker-1,192.59%,2.483GiB / 10GiB,24.83%,4.48GB / 4.54GB,0B / 0B,102
20250618_132003,d9db3658c991,spark-worker-4,203.29%,2.234GiB / 10GiB,22.34%,4.45GB / 4.46GB,0B / 0B,101
20250618_132003,ec39dfa29337,spark-worker-5,201.46%,2.472GiB / 10GiB,24.72%,4.49GB / 4.33GB,0B / 0B,102
20250618_132003,82e8dc373feb,spark-master,0.70%,822MiB / 4GiB,20.07%,38MB / 61.5MB,0B / 0B,222
20250618_132010,8896faf2c28a,spark-worker-3,196.65%,2.48GiB / 10GiB,24.80%,4.33GB / 4.54GB,0B / 0B,102
20250618_132010,bd3eccc510a1,spark-worker-2,148.65%,2.283GiB / 10GiB,22.83%,4.52GB / 4.34GB,0B / 0B,102
20250618_132010,72ea5f833e39,spark-worker-1,199.30%,2.488GiB / 10GiB,24.88%,4.48GB / 4.56GB,0B / 0B,102
20250618_132010,d9db3658c991,spark-worker-4,21.59%,2.528GiB / 10GiB,25.28%,4.45GB / 4.47GB,0B / 0B,101
20250618_132010,ec39dfa29337,spark-worker-5,176.87%,2.464GiB / 10GiB,24.64%,4.49GB / 4.35GB,0B / 0B,102
20250618_132010,82e8dc373feb,spark-master,0.50%,816.8MiB / 4GiB,19.94%,38MB / 61.5MB,0B / 0B,221
20250618_132018,8896faf2c28a,spark-worker-3,196.21%,2.967GiB / 10GiB,29.67%,4.33GB / 4.6GB,0B / 0B,102
20250618_132018,bd3eccc510a1,spark-worker-2,197.07%,2.309GiB / 10GiB,23.09%,4.57GB / 4.39GB,0B / 0B,102
20250618_132018,72ea5f833e39,spark-worker-1,21.03%,2.48GiB / 10GiB,24.80%,4.48GB / 4.61GB,0B / 0B,102
20250618_132018,d9db3658c991,spark-worker-4,198.50%,2.53GiB / 10GiB,25.30%,4.55GB / 4.51GB,0B / 0B,101
20250618_132018,ec39dfa29337,spark-worker-5,196.87%,2.451GiB / 10GiB,24.51%,4.58GB / 4.38GB,0B / 0B,103
20250618_132018,82e8dc373feb,spark-master,1.28%,816.8MiB / 4GiB,19.94%,38.2MB / 61.6MB,0B / 0B,221
20250618_132026,8896faf2c28a,spark-worker-3,146.07%,2.982GiB / 10GiB,29.82%,4.38GB / 4.62GB,0B / 0B,91
20250618_132026,bd3eccc510a1,spark-worker-2,196.29%,2.287GiB / 10GiB,22.87%,4.57GB / 4.42GB,0B / 0B,90
20250618_132026,72ea5f833e39,spark-worker-1,200.00%,2.537GiB / 10GiB,25.37%,4.58GB / 4.61GB,0B / 0B,90
