timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250620_193406,cc34677a11f4,ray-worker-3,9.03%,864.9MiB / 10GiB,8.45%,3.78MB / 11.1MB,0B / 0B,425
20250620_193406,a11581c1e468,ray-worker-4,9.42%,884.2MiB / 10GiB,8.64%,3.9MB / 11.8MB,0B / 0B,424
20250620_193406,6d281bc7c057,ray-worker-5,9.02%,999.1MiB / 10GiB,9.76%,3.86MB / 11.5MB,0B / 0B,476
20250620_193406,542e2e51f233,ray-worker-2,12.18%,897.4MiB / 10GiB,8.76%,4.05MB / 12.4MB,0B / 0B,426
20250620_193406,a8097ab77105,ray-worker-1,10.58%,1021MiB / 9GiB,11.08%,3.95MB / 11.7MB,0B / 0B,472
20250620_193406,5b8c3cedb3c8,ray-client,33.06%,872.7MiB / 1GiB,85.23%,6.06MB / 10.1MB,0B / 0B,331
20250620_193406,0977cfc09df4,ray-head,12.76%,1.779GiB / 3GiB,59.28%,64.5MB / 21.6MB,0B / 0B,544
