timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
20250623_080747,8d645c834cfe,ray-worker-2,2.51%,476.7MiB / 10GiB,4.66%,265kB / 566kB,0B / 0B,133
20250623_080747,273f1437db92,ray-client,2.74%,471.1MiB / 1GiB,46.01%,288kB / 583kB,0B / 0B,131
20250623_080747,e8cda8c0b9fb,ray-worker-1,1.11%,475.3MiB / 9GiB,5.16%,263kB / 568kB,0B / 0B,133
20250623_080747,0f071136a947,ray-worker-3,1.23%,467.8MiB / 10GiB,4.57%,259kB / 551kB,0B / 0B,133
20250623_080747,2a2d98789317,ray-worker-4,2.73%,475.5MiB / 10GiB,4.64%,265kB / 566kB,0B / 0B,133
20250623_080747,fbf6fcd333d8,ray-worker-5,2.60%,471.4MiB / 10GiB,4.60%,265kB / 566kB,0B / 0B,132
20250623_080747,ee2a6eb1c7d5,ray-head,3.48%,1.418GiB / 3GiB,47.25%,3.43MB / 1.6MB,0B / 0B,278
20250623_080754,8d645c834cfe,ray-worker-2,1.40%,476.7MiB / 10GiB,4.66%,274kB / 585kB,0B / 0B,133
20250623_080754,273f1437db92,ray-client,1.21%,471MiB / 1GiB,45.99%,297kB / 602kB,0B / 0B,131
20250623_080754,e8cda8c0b9fb,ray-worker-1,1.54%,475.3MiB / 9GiB,5.16%,272kB / 587kB,0B / 0B,133
20250623_080754,0f071136a947,ray-worker-3,1.53%,467.8MiB / 10GiB,4.57%,274kB / 585kB,0B / 0B,133
20250623_080754,2a2d98789317,ray-worker-4,1.45%,475.3MiB / 10GiB,4.64%,274kB / 584kB,0B / 0B,133
20250623_080754,fbf6fcd333d8,ray-worker-5,1.49%,471.7MiB / 10GiB,4.61%,274kB / 585kB,0B / 0B,132
20250623_080754,ee2a6eb1c7d5,ray-head,2.62%,1.418GiB / 3GiB,47.27%,3.54MB / 1.66MB,0B / 0B,278
20250623_080801,8d645c834cfe,ray-worker-2,4.06%,476.7MiB / 10GiB,4.65%,288kB / 618kB,0B / 0B,133
20250623_080801,273f1437db92,ray-client,3.96%,471.2MiB / 1GiB,46.01%,311kB / 635kB,0B / 0B,131
20250623_080801,e8cda8c0b9fb,ray-worker-1,1.41%,475.5MiB / 9GiB,5.16%,285kB / 620kB,0B / 0B,133
20250623_080801,0f071136a947,ray-worker-3,3.42%,467.9MiB / 10GiB,4.57%,288kB / 618kB,0B / 0B,133
20250623_080801,2a2d98789317,ray-worker-4,3.40%,475.5MiB / 10GiB,4.64%,287kB / 617kB,0B / 0B,133
20250623_080801,fbf6fcd333d8,ray-worker-5,3.65%,471.7MiB / 10GiB,4.61%,288kB / 618kB,0B / 0B,132
20250623_080801,ee2a6eb1c7d5,ray-head,4.91%,1.418GiB / 3GiB,47.28%,3.74MB / 1.74MB,0B / 0B,278
20250623_080809,8d645c834cfe,ray-worker-2,1.76%,476.6MiB / 10GiB,4.65%,296kB / 637kB,0B / 0B,133
20250623_080809,273f1437db92,ray-client,1.13%,471MiB / 1GiB,45.99%,320kB / 654kB,0B / 0B,131
20250623_080809,e8cda8c0b9fb,ray-worker-1,1.34%,475.3MiB / 9GiB,5.16%,295kB / 640kB,0B / 0B,133
20250623_080809,0f071136a947,ray-worker-3,1.80%,468.1MiB / 10GiB,4.57%,296kB / 637kB,0B / 0B,133
20250623_080809,2a2d98789317,ray-worker-4,1.21%,475.5MiB / 10GiB,4.64%,297kB / 637kB,0B / 0B,133
20250623_080809,fbf6fcd333d8,ray-worker-5,1.69%,471.6MiB / 10GiB,4.61%,297kB / 637kB,0B / 0B,132
20250623_080809,ee2a6eb1c7d5,ray-head,3.39%,1.419GiB / 3GiB,47.29%,3.86MB / 1.79MB,0B / 0B,278
20250623_080817,8d645c834cfe,ray-worker-2,3.78%,476.8MiB / 10GiB,4.66%,311kB / 671kB,0B / 0B,133
20250623_080817,273f1437db92,ray-client,7.30%,477.2MiB / 1GiB,46.61%,334kB / 687kB,0B / 0B,132
20250623_080817,e8cda8c0b9fb,ray-worker-1,1.53%,475.5MiB / 9GiB,5.16%,308kB / 673kB,0B / 0B,133
20250623_080817,0f071136a947,ray-worker-3,3.99%,467.9MiB / 10GiB,4.57%,311kB / 671kB,0B / 0B,133
20250623_080817,2a2d98789317,ray-worker-4,1.16%,475.6MiB / 10GiB,4.64%,305kB / 656kB,0B / 0B,133
20250623_080817,fbf6fcd333d8,ray-worker-5,3.92%,471.7MiB / 10GiB,4.61%,311kB / 671kB,0B / 0B,132
20250623_080817,ee2a6eb1c7d5,ray-head,4.52%,1.419GiB / 3GiB,47.30%,4.06MB / 1.88MB,0B / 0B,278
