name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,18.703333333333333,28.21154240731974,0.44,81.05,2.94,2.7,20.9,1.1256666666666666,0.018901058171435788,1.109,1.166,1.118,1.114,1.133,master
spark-worker-1,102.04777777777778,75.2296960610931,2.33,195.48,89.37,53.5,161.08,2.744666666666667,0.012688577540449433,2.732,2.774,2.744,2.737,2.746,worker_1
spark-worker-2,70.85666666666665,53.89671441748559,3.49,169.73,61.56,29.41,101.35,2.701111111111111,0.01178393444954242,2.691,2.727,2.696,2.695,2.701,worker_2
spark-worker-3,108.31666666666666,62.21506931604272,8.07,194.37,104.45,80.12,145.3,2.836111111111111,0.005487359211051414,2.825,2.843,2.836,2.834,2.839,worker_3
spark-worker-4,84.02555555555556,72.26409276243479,5.92,198.11,74.99,13.13,112.15,2.624111111111111,0.008594248722902579,2.614,2.642,2.622,2.621,2.629,worker_4
spark-worker-5,97.1222222222222,73.19919616665503,3.07,195.94,83.38,58.19,165.35,2.691666666666667,0.005454356057317863,2.686,2.702,2.69,2.688,2.692,worker_5
