name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,14.691538461538462,22.897352282271882,0.44,87.44,2.515,0.98,23.145,0.938677734375,0.028881943142895862,0.91318359375,1.014,0.925341796875,0.9212646484375,0.9471923828125,master
spark-worker-1,114.70115384615384,63.5093692191584,8.17,202.1,130.995,59.49,148.6625,2.7241153846153847,0.024620847951403988,2.701,2.78,2.7104999999999997,2.70825,2.73125,worker_1
spark-worker-2,108.36076923076924,67.45908371290417,6.44,199.08,105.23,48.645,181.5,2.6995,0.018631693428134772,2.675,2.752,2.6975,2.6872499999999997,2.701,worker_2
spark-worker-3,115.85,67.80397062119592,8.13,203.09,101.25999999999999,61.5325,187.60999999999999,2.4397692307692305,0.02536660433295347,2.417,2.502,2.4355,2.422,2.4444999999999997,worker_3
spark-worker-4,110.5926923076923,59.159365619160745,8.38,199.92,107.725,77.7025,145.095,2.610307692307692,0.01874197264061445,2.589,2.664,2.6035000000000004,2.6,2.6145,worker_4
spark-worker-5,105.97384615384615,63.119652412029204,0.4,202.57,101.42500000000001,68.75,163.4575,2.6929615384615384,0.020823987647385474,2.675,2.75,2.6864999999999997,2.68125,2.6955,worker_5
