name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean,framework,operation_type,category,run_number,dataset_name
ray-worker-2,45.09,,45.09,45.09,45.09,45.09,45.09,0.94833984375,,0.94833984375,0.94833984375,0.94833984375,0.94833984375,0.94833984375,ray_worker_2,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter
ray-worker-3,89.79,,89.79,89.79,89.79,89.79,89.79,1.399,,1.399,1.399,1.399,1.399,1.399,ray_worker_3,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter
ray-worker-4,82.09,,82.09,82.09,82.09,82.09,82.09,1.298,,1.298,1.298,1.298,1.298,1.298,ray_worker_4,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter
ray-worker-5,21.87,,21.87,21.87,21.87,21.87,21.87,0.912109375,,0.912109375,0.912109375,0.912109375,0.912109375,0.912109375,ray_worker_5,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter
ray-client,33.06,,33.06,33.06,33.06,33.06,33.06,0.85224609375,,0.85224609375,0.85224609375,0.85224609375,0.85224609375,0.85224609375,ray_client,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-head,12.76,,12.76,12.76,12.76,12.76,12.76,1.779,,1.779,1.779,1.779,1.779,1.779,ray_head,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-worker-1,10.58,,10.58,10.58,10.58,10.58,10.58,0.9970703125,,0.9970703125,0.9970703125,0.9970703125,0.9970703125,0.9970703125,ray_worker_1,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-worker-2,12.18,,12.18,12.18,12.18,12.18,12.18,0.8763671875,,0.8763671875,0.8763671875,0.8763671875,0.8763671875,0.8763671875,ray_worker_2,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-worker-3,9.03,,9.03,9.03,9.03,9.03,9.03,0.84462890625,,0.84462890625,0.84462890625,0.84462890625,0.84462890625,0.84462890625,ray_worker_3,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-worker-4,9.42,,9.42,9.42,9.42,9.42,9.42,0.8634765625,,0.8634765625,0.8634765625,0.8634765625,0.8634765625,0.8634765625,ray_worker_4,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-worker-5,9.02,,9.02,9.02,9.02,9.02,9.02,0.97568359375,,0.97568359375,0.97568359375,0.97568359375,0.97568359375,0.97568359375,ray_worker_5,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter
ray-client,3.6,,3.6,3.6,3.6,3.6,3.6,0.54306640625,,0.54306640625,0.54306640625,0.54306640625,0.54306640625,0.54306640625,ray_client,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-head,224.53,,224.53,224.53,224.53,224.53,224.53,1.498,,1.498,1.498,1.498,1.498,1.498,ray_head,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-worker-1,137.52,,137.52,137.52,137.52,137.52,137.52,0.75458984375,,0.75458984375,0.75458984375,0.75458984375,0.75458984375,0.75458984375,ray_worker_1,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-worker-2,226.68,,226.68,226.68,226.68,226.68,226.68,0.75244140625,,0.75244140625,0.75244140625,0.75244140625,0.75244140625,0.75244140625,ray_worker_2,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-worker-3,191.55,,191.55,191.55,191.55,191.55,191.55,0.80380859375,,0.80380859375,0.80380859375,0.80380859375,0.80380859375,0.80380859375,ray_worker_3,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-worker-4,230.08,,230.08,230.08,230.08,230.08,230.08,0.7529296875,,0.7529296875,0.7529296875,0.7529296875,0.7529296875,0.7529296875,ray_worker_4,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-worker-5,197.35,,197.35,197.35,197.35,197.35,197.35,0.7900390625,,0.7900390625,0.7900390625,0.7900390625,0.7900390625,0.7900390625,ray_worker_5,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter
ray-client,33.92,,33.92,33.92,33.92,33.92,33.92,0.5291015625,,0.5291015625,0.5291015625,0.5291015625,0.5291015625,0.5291015625,ray_client,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-head,30.24,,30.24,30.24,30.24,30.24,30.24,1.613,,1.613,1.613,1.613,1.613,1.613,ray_head,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-worker-1,13.09,,13.09,13.09,13.09,13.09,13.09,0.81318359375,,0.81318359375,0.81318359375,0.81318359375,0.81318359375,0.81318359375,ray_worker_1,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-worker-2,23.12,,23.12,23.12,23.12,23.12,23.12,0.72265625,,0.72265625,0.72265625,0.72265625,0.72265625,0.72265625,ray_worker_2,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-worker-3,45.07,,45.07,45.07,45.07,45.07,45.07,0.730859375,,0.730859375,0.730859375,0.730859375,0.730859375,0.730859375,ray_worker_3,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-worker-4,27.54,,27.54,27.54,27.54,27.54,27.54,0.71572265625,,0.71572265625,0.71572265625,0.71572265625,0.71572265625,0.71572265625,ray_worker_4,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-worker-5,25.93,,25.93,25.93,25.93,25.93,25.93,0.7478515625,,0.7478515625,0.7478515625,0.7478515625,0.7478515625,0.7478515625,ray_worker_5,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter
ray-client,54.09,,54.09,54.09,54.09,54.09,54.09,0.727734375,,0.727734375,0.727734375,0.727734375,0.727734375,0.727734375,ray_client,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-head,10.57,,10.57,10.57,10.57,10.57,10.57,1.783,,1.783,1.783,1.783,1.783,1.783,ray_head,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-worker-1,61.41,,61.41,61.41,61.41,61.41,61.41,1.319,,1.319,1.319,1.319,1.319,1.319,ray_worker_1,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-worker-2,69.59,,69.59,69.59,69.59,69.59,69.59,0.8859375,,0.8859375,0.8859375,0.8859375,0.8859375,0.8859375,ray_worker_2,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-worker-3,5.56,,5.56,5.56,5.56,5.56,5.56,0.79619140625,,0.79619140625,0.79619140625,0.79619140625,0.79619140625,0.79619140625,ray_worker_3,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-worker-4,6.21,,6.21,6.21,6.21,6.21,6.21,0.82666015625,,0.82666015625,0.82666015625,0.82666015625,0.82666015625,0.82666015625,ray_worker_4,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-worker-5,34.83,,34.83,34.83,34.83,34.83,34.83,1.145,,1.145,1.145,1.145,1.145,1.145,ray_worker_5,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter
ray-client,7.43,13.056957915226656,1.05,30.77,1.74,1.25,2.34,0.4477929687499999,0.0529319666973532,0.4240234375,0.54248046875,0.42412109375,0.42412109375,0.42421875,ray_client,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-head,3.532,1.2384748685379126,2.31,5.55,3.17,2.9,3.73,1.3278,0.0004472135954999,1.327,1.328,1.328,1.328,1.328,ray_head,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-worker-1,20.46,41.6187776129958,1.23,94.9,1.61,1.56,3.0,0.4796484375,0.0316308729425526,0.465234375,0.53623046875,0.465625,0.4654296875,0.46572265625,ray_worker_1,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-worker-2,20.186,41.65268154633024,1.05,94.69,1.53,1.19,2.47,0.46609375,0.0338030588786101,0.4509765625,0.5265625,0.4509765625,0.4509765625,0.4509765625,ray_worker_2,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-worker-3,1.6780000000000002,0.7413973293720446,1.11,2.97,1.46,1.3,1.55,0.43958984375,5.348853100635113e-05,0.43955078125,0.4396484375,0.43955078125,0.43955078125,0.4396484375,ray_worker_3,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-worker-4,17.082,35.00831286994562,1.03,79.7,1.24,1.13,2.31,0.45818359375,0.0288352630792678,0.44521484375,0.509765625,0.4453125,0.4453125,0.4453125,ray_worker_4,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-worker-5,22.074,46.53068267283428,1.12,105.31,1.21,1.16,1.57,0.47376953125,0.0364454511862647,0.45732421875,0.53896484375,0.45751953125,0.457421875,0.4576171875,ray_worker_5,Ray,RAY,General,1,07_AMZN_RAY_Read_Filter_Write
ray-client,19.44,43.45260262630997,2.64,135.2,5.52,3.54,5.8,0.6399305555555556,0.0392420933906887,0.621484375,0.73369140625,0.6216796875,0.621484375,0.62177734375,ray_client,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-head,39.28888888888888,74.64713314060434,12.83,238.32,15.18,13.46,15.43,2.1497777777777776,0.2075920144043224,1.941,2.479,2.271,1.942,2.278,ray_head,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-worker-1,10.106666666666667,14.649978668926453,3.66,48.99,5.78,4.07,5.97,0.6259548611111111,0.0059827461471678,0.6234375,0.64189453125,0.6240234375,0.62392578125,0.62412109375,ray_worker_1,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-worker-2,4.625555555555556,1.3970783005178262,3.46,7.8,3.99,3.79,5.25,0.6167426215277777,0.013392096805687,0.61142578125,0.65244140625,0.61240234375,0.6123046875,0.61259765625,ray_worker_2,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-worker-3,6.724444444444444,10.541146891006584,2.65,34.76,3.05,2.66,3.68,0.5593098958333333,0.0202403032610342,0.5521484375,0.61328125,0.55263671875,0.5525390625,0.55263671875,ray_worker_3,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-worker-4,10.792222222222222,18.110870891385765,3.98,59.05,4.67,4.09,5.57,0.6221788194444444,0.0388512489784685,0.608984375,0.72578125,0.6091796875,0.6091796875,0.60947265625,ray_worker_4,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-worker-5,11.047777777777778,18.94895760838692,3.67,61.53,4.69,4.09,5.88,0.6235026041666667,0.0073033557024563,0.6205078125,0.64296875,0.62119140625,0.62109375,0.62119140625,ray_worker_5,Ray,RAY,General,2,07_AMZN_RAY_Read_Filter_Write
ray-client,3.49,0.975329004319397,2.54,4.81,3.305,2.915,3.88,0.621728515625,0.0001260736766343,0.62158203125,0.621875,0.6217285156250001,0.6216552734375,0.6218017578125,ray_client,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-head,15.415,3.4318265301925357,13.11,20.51,14.02,13.575,15.86,2.21825,0.0004999999999999,2.218,2.219,2.218,2.218,2.21825,ray_head,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-worker-1,4.9075,1.1030979104322518,3.95,6.07,4.805,3.9725,5.74,0.624462890625,9.76562500000037e-05,0.6244140625,0.624609375,0.6244140625,0.6244140625,0.624462890625,ray_worker_1,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-worker-2,4.0475,0.6267043428390563,3.39,4.9,3.95,3.8025,4.195,0.612548828125,5.638186222549811e-05,0.6125,0.61259765625,0.612548828125,0.6125,0.61259765625,ray_worker_2,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-worker-3,3.175,0.84666010496145,2.54,4.41,2.875,2.6825,3.3675,0.5527099609375,9.349874099183666e-05,0.55263671875,0.55283203125,0.552685546875,0.55263671875,0.5527587890625,ray_worker_3,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-worker-4,4.875,1.3238705878345258,3.67,6.47,4.68,3.85,5.705,0.6092041015625,0.0001667797976229,0.608984375,0.609375,0.6092285156249999,0.609130859375,0.6093017578125,ray_worker_4,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-worker-5,4.755,1.3073255141700555,3.6,6.23,4.595000000000001,3.6825,5.6675,0.621533203125,5.638186222554085e-05,0.621484375,0.62158203125,0.621533203125,0.621484375,0.62158203125,ray_worker_5,Ray,RAY,General,3,07_AMZN_RAY_Read_Filter_Write
ray-client,15.877692307692309,42.925410724854295,2.37,158.13,2.84,2.59,3.29,0.6382812499999999,0.0404647797707606,0.62158203125,0.73515625,0.62177734375,0.6216796875,0.621875,ray_client,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-head,19.306153846153844,11.243351767794111,11.81,47.55,13.97,13.02,18.0,1.9782307692307688,0.1658428743550921,1.85,2.191,1.851,1.85,2.19,ray_head,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-worker-1,17.846153846153847,52.14774132827831,2.14,191.37,3.38,2.46,4.23,0.5509164663461539,0.0363135641790499,0.5359375,0.640234375,0.5361328125,0.53603515625,0.53623046875,ray_worker_1,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-worker-2,17.50153846153846,50.62432927064381,2.89,185.97,3.23,3.03,3.56,0.5768179086538462,0.0314145280916635,0.56455078125,0.67177734375,0.5650390625,0.56484375,0.56513671875,ray_worker_2,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-worker-3,19.90615384615385,58.19939912898036,2.55,213.58,3.68,3.24,4.98,0.5650991586538462,0.0322191027326675,0.5525390625,0.672265625,0.556640625,0.55625,0.55673828125,ray_worker_3,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-worker-4,18.34923076923077,51.81528272970219,2.66,190.77,3.86,3.18,4.91,0.5769305889423078,0.0324489533459383,0.56474609375,0.676953125,0.56494140625,0.56484375,0.5650390625,ray_worker_4,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-worker-5,12.22153846153846,29.95659132983197,2.94,111.88,3.46,3.24,4.77,0.5820462740384615,0.0206305173238931,0.57333984375,0.634765625,0.5736328125,0.57353515625,0.5740234375,ray_worker_5,Ray,RAY,General,4,07_AMZN_RAY_Read_Filter_Write
ray-client,8.001999999999999,6.637812223248796,2.69,26.23,6.494999999999999,5.975,7.6175,0.72333984375,0.0525787191245634,0.6236328125,0.74931640625,0.748828125,0.7447021484374999,0.749072265625,ray_client,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
ray-head,81.065,42.20885721951944,10.86,146.37,86.255,77.015,101.985,2.243,0.3567003099397461,1.585,2.643,2.3715,2.3575,2.384,ray_head,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
ray-worker-1,164.86200000000002,100.46013612926828,3.06,273.3,202.85,101.0875,233.27,2.748715625,1.1773957330617957,0.57998046875,3.45,3.378,2.718,3.4135,ray_worker_1,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
ray-worker-2,169.46,101.0904598202356,3.02,263.49,211.54,115.16,248.21,3.358468359375,1.5178565871414162,0.56279296875,4.253,4.173500000000001,3.31725,4.2170000000000005,ray_worker_2,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
ray-worker-3,152.754,81.95641296852045,4.6,233.4,182.52,152.7675,193.6675,2.831816015625,1.1638404116279146,0.64443359375,3.489,3.417,3.0515,3.4537500000000003,ray_worker_3,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
ray-worker-4,151.837,84.64656507436605,4.1,255.25,181.69,132.4625,200.5425,3.1611,1.4078334978522251,0.61240234375,4.107,3.946,2.93075,4.0745000000000005,ray_worker_4,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
ray-worker-5,178.648,102.92978553903194,1.65,262.3,236.025,130.9325,241.0175,2.721104296875,1.185276535838995,0.48447265625,3.38,3.299,3.029,3.3400000000000003,ray_worker_5,Ray,RAY,General,5,07_AMZN_RAY_Read_Filter_Write
spark-master,51.645,19.89091375477758,37.58,65.71,51.645,44.6125,58.6775,0.4166015625,0.2639220818061508,0.22998046875,0.60322265625,0.4166015625,0.323291015625,0.5099121093750001,master,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-1,16.24,14.990663761154808,5.64,26.84,16.24,10.94,21.54,0.3997070312499999,0.1933495104806965,0.26298828125,0.53642578125,0.3997070312499999,0.33134765625,0.4680664062499999,worker_1,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-2,14.04,11.115718600252526,6.18,21.9,14.04,10.11,17.97,0.402783203125,0.1798840981436481,0.2755859375,0.52998046875,0.402783203125,0.3391845703125,0.4663818359375,worker_2,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-3,14.52,12.713779925734126,5.53,23.51,14.52,10.025,19.015,0.3724121093749999,0.1863751174240714,0.240625,0.50419921875,0.3724121093749999,0.3065185546875,0.4383056640624999,worker_3,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-4,12.925,12.692566722298526,3.95,21.9,12.925,8.4375,17.412499999999998,0.44833984375,0.2452776647240837,0.27490234375,0.62177734375,0.44833984375,0.36162109375,0.5350585937500001,worker_4,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-5,14.835,14.870455608353096,4.32,25.35,14.835,9.5775,20.0925,0.4468261718749999,0.2434132230158769,0.27470703125,0.6189453125,0.4468261718749999,0.3607666015625,0.5328857421875,worker_5,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-master,51.645,19.89091375477758,37.58,65.71,51.645,44.6125,58.6775,0.4166015625,0.2639220818061508,0.22998046875,0.60322265625,0.4166015625,0.323291015625,0.5099121093750001,master,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-1,16.24,14.990663761154808,5.64,26.84,16.24,10.94,21.54,0.3997070312499999,0.1933495104806965,0.26298828125,0.53642578125,0.3997070312499999,0.33134765625,0.4680664062499999,worker_1,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-2,14.04,11.115718600252526,6.18,21.9,14.04,10.11,17.97,0.402783203125,0.1798840981436481,0.2755859375,0.52998046875,0.402783203125,0.3391845703125,0.4663818359375,worker_2,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-3,14.52,12.713779925734126,5.53,23.51,14.52,10.025,19.015,0.3724121093749999,0.1863751174240714,0.240625,0.50419921875,0.3724121093749999,0.3065185546875,0.4383056640624999,worker_3,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-4,12.925,12.692566722298526,3.95,21.9,12.925,8.4375,17.412499999999998,0.44833984375,0.2452776647240837,0.27490234375,0.62177734375,0.44833984375,0.36162109375,0.5350585937500001,worker_4,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-worker-5,14.835,14.870455608353096,4.32,25.35,14.835,9.5775,20.0925,0.4468261718749999,0.2434132230158769,0.27470703125,0.6189453125,0.4468261718749999,0.3607666015625,0.5328857421875,worker_5,Spark,SPARK,General,1,07_AMZN_SPARK_Read_Filter
spark-master,88.845,118.56059400154842,5.01,172.68,88.845,46.9275,130.7625,0.6187988281250001,0.0332146837647196,0.5953125,0.64228515625,0.6187988281250001,0.6070556640625,0.6305419921875001,master,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-1,90.425,19.509076092936848,76.63,104.22,90.425,83.5275,97.3225,0.646728515625,0.0981248765689534,0.57734375,0.71611328125,0.646728515625,0.6120361328125,0.6814208984375,worker_1,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-2,96.65,12.331942263893389,87.93,105.37,96.65,92.29,101.01,0.619873046875,0.0732656537928639,0.56806640625,0.6716796875,0.619873046875,0.5939697265625,0.6457763671875,worker_2,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-3,107.06,7.311484117468904,101.89,112.23,107.06,104.475,109.645,0.594287109375,0.0522734212263883,0.55732421875,0.63125,0.594287109375,0.5758056640625,0.6127685546875,worker_3,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-4,109.775,33.226947647955875,86.28,133.27,109.775,98.0275,121.5225,0.6974609375,0.0886645612347193,0.634765625,0.76015625,0.6974609375,0.66611328125,0.72880859375,worker_4,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-5,95.12,77.72517738802532,40.16,150.08,95.12,67.64,122.6,0.6828125,0.0962604348607467,0.61474609375,0.75087890625,0.6828125,0.648779296875,0.716845703125,worker_5,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-master,88.845,118.56059400154842,5.01,172.68,88.845,46.9275,130.7625,0.6187988281250001,0.0332146837647196,0.5953125,0.64228515625,0.6187988281250001,0.6070556640625,0.6305419921875001,master,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-1,90.425,19.509076092936848,76.63,104.22,90.425,83.5275,97.3225,0.646728515625,0.0981248765689534,0.57734375,0.71611328125,0.646728515625,0.6120361328125,0.6814208984375,worker_1,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-2,96.65,12.331942263893389,87.93,105.37,96.65,92.29,101.01,0.619873046875,0.0732656537928639,0.56806640625,0.6716796875,0.619873046875,0.5939697265625,0.6457763671875,worker_2,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-3,107.06,7.311484117468904,101.89,112.23,107.06,104.475,109.645,0.594287109375,0.0522734212263883,0.55732421875,0.63125,0.594287109375,0.5758056640625,0.6127685546875,worker_3,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-4,109.775,33.226947647955875,86.28,133.27,109.775,98.0275,121.5225,0.6974609375,0.0886645612347193,0.634765625,0.76015625,0.6974609375,0.66611328125,0.72880859375,worker_4,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-worker-5,95.12,77.72517738802532,40.16,150.08,95.12,67.64,122.6,0.6828125,0.0962604348607467,0.61474609375,0.75087890625,0.6828125,0.648779296875,0.716845703125,worker_5,Spark,SPARK,General,2,07_AMZN_SPARK_Read_Filter
spark-master,75.52250000000001,72.71821155437384,10.38,162.74,64.485,18.3975,121.61,0.51181640625,0.1915903796536933,0.23095703125,0.64248046875,0.5869140625,0.46943359375,0.629296875,master,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-1,98.7325,113.8254922750904,0.07,199.58,97.64,0.22,196.1525,0.514208984375,0.1909494026499039,0.273828125,0.715234375,0.53388671875,0.41474609375,0.633349609375,worker_1,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-2,81.4275,93.83651150627172,0.17,165.9,79.82,0.2075,161.04,0.4904296875,0.1622453503836397,0.28095703125,0.64609375,0.517333984375,0.406787109375,0.6009765625,worker_2,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-3,88.89500000000001,103.15108029810771,0.07,192.26,81.625,0.2125,170.3075,0.4645751953125,0.1689167729198471,0.2455078125,0.60361328125,0.50458984375,0.37470703125,0.5944580078125,worker_3,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-4,84.0575,96.89151472136248,0.08,171.5,82.325,0.2375,166.145,0.4903076171875,0.1572626562923233,0.2798828125,0.612890625,0.534228515625,0.41494140625,0.6095947265625,worker_4,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-5,92.4875,106.5071435397645,0.22,186.13,91.8,0.2724999999999999,184.015,0.47841796875,0.1667081717627264,0.2802734375,0.6615234375,0.4859375,0.3802490234375,0.5841064453125,worker_5,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-master,75.52250000000001,72.71821155437384,10.38,162.74,64.485,18.3975,121.61,0.51181640625,0.1915903796536933,0.23095703125,0.64248046875,0.5869140625,0.46943359375,0.629296875,master,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-1,98.7325,113.8254922750904,0.07,199.58,97.64,0.22,196.1525,0.514208984375,0.1909494026499039,0.273828125,0.715234375,0.53388671875,0.41474609375,0.633349609375,worker_1,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-2,81.4275,93.83651150627172,0.17,165.9,79.82,0.2075,161.04,0.4904296875,0.1622453503836397,0.28095703125,0.64609375,0.517333984375,0.406787109375,0.6009765625,worker_2,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-3,88.89500000000001,103.15108029810771,0.07,192.26,81.625,0.2125,170.3075,0.4645751953125,0.1689167729198471,0.2455078125,0.60361328125,0.50458984375,0.37470703125,0.5944580078125,worker_3,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-4,84.0575,96.89151472136248,0.08,171.5,82.325,0.2375,166.145,0.4903076171875,0.1572626562923233,0.2798828125,0.612890625,0.534228515625,0.41494140625,0.6095947265625,worker_4,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-worker-5,92.4875,106.5071435397645,0.22,186.13,91.8,0.2724999999999999,184.015,0.47841796875,0.1667081717627264,0.2802734375,0.6615234375,0.4859375,0.3802490234375,0.5841064453125,worker_5,Spark,SPARK,General,3,07_AMZN_SPARK_Read_Filter
spark-master,75.485,104.14975780096658,1.84,149.13,75.485,38.6625,112.3075,0.432568359375,0.2838785134236227,0.2318359375,0.63330078125,0.432568359375,0.3322021484375,0.5329345703125,master,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-worker-1,0.105,0.0353553390593273,0.08,0.13,0.105,0.0925,0.1175,0.43505859375,0.2246997525372095,0.276171875,0.5939453125,0.43505859375,0.355615234375,0.514501953125,worker_1,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-worker-2,31.235,43.96082858636766,0.15,62.32,31.235,15.6925,46.7775,0.4439453125,0.2298097038856279,0.2814453125,0.6064453125,0.4439453125,0.3626953125,0.5251953125,worker_2,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-worker-3,0.095,0.0494974746830583,0.06,0.13,0.095,0.0775,0.1125,0.3936523437499999,0.2088174713191522,0.24599609375,0.54130859375,0.3936523437499999,0.31982421875,0.4674804687499999,worker_3,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-worker-4,0.125,0.0353553390593273,0.1,0.15,0.125,0.1125,0.1375,0.477392578125,0.2786304552820038,0.28037109375,0.6744140625,0.477392578125,0.3788818359375,0.5759033203125,worker_4,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-worker-5,0.105,0.0494974746830583,0.07,0.14,0.105,0.0875,0.1225,0.449853515625,0.237336524115055,0.28203125,0.61767578125,0.449853515625,0.3659423828125,0.5337646484375,worker_5,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-master,75.485,104.14975780096658,1.84,149.13,75.485,38.6625,112.3075,0.432568359375,0.2838785134236227,0.2318359375,0.63330078125,0.432568359375,0.3322021484375,0.5329345703125,master,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
spark-worker-1,0.105,0.0353553390593273,0.08,0.13,0.105,0.0925,0.1175,0.43505859375,0.2246997525372095,0.276171875,0.5939453125,0.43505859375,0.355615234375,0.514501953125,worker_1,Spark,SPARK,General,4,07_AMZN_SPARK_Read_Filter
