name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
ray-client,7.43,13.056957915226656,1.05,30.77,1.74,1.25,2.34,0.44779296874999996,0.05293196669735321,0.4240234375,0.54248046875,0.42412109375,0.42412109375,0.42421875,ray_client
ray-head,3.532,1.2384748685379126,2.31,5.55,3.17,2.9,3.73,1.3278,0.0004472135954999563,1.327,1.328,1.328,1.328,1.328,ray_head
ray-worker-1,20.46,41.6187776129958,1.23,94.9,1.61,1.56,3.0,0.4796484375,0.031630872942552665,0.465234375,0.53623046875,0.465625,0.4654296875,0.46572265625,ray_worker_1
ray-worker-2,20.186,41.65268154633024,1.05,94.69,1.53,1.19,2.47,0.46609375000000003,0.03380305887861011,0.4509765625,0.5265625,0.4509765625,0.4509765625,0.4509765625,ray_worker_2
ray-worker-3,1.6780000000000002,0.7413973293720446,1.11,2.97,1.46,1.3,1.55,0.43958984375,5.348853100635113e-05,0.43955078125,0.4396484375,0.43955078125,0.43955078125,0.4396484375,ray_worker_3
ray-worker-4,17.082,35.00831286994562,1.03,79.7,1.24,1.13,2.31,0.45818359375,0.028835263079267842,0.44521484375,0.509765625,0.4453125,0.4453125,0.4453125,ray_worker_4
ray-worker-5,22.074,46.53068267283428,1.12,105.31,1.21,1.16,1.57,0.47376953125,0.03644545118626479,0.45732421875,0.53896484375,0.45751953125,0.457421875,0.4576171875,ray_worker_5
