name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,12.338387096774193,14.699320414398798,0.65,61.78,4.6,1.85,22.784999999999997,1.0097222782258064,0.023993650133723718,0.984375,1.073,1.003,0.994140625,1.009,master
spark-worker-1,96.9183870967742,67.00920529284387,1.62,202.33,116.15,29.325,143.82999999999998,2.5998709677419356,0.04175223901020867,2.563,2.695,2.582,2.572,2.6145,worker_1
spark-worker-2,126.72870967741936,57.84479076182722,8.0,198.66,131.83,71.465,180.945,2.5312580645161287,0.0323099239057553,2.504,2.623,2.513,2.508,2.5540000000000003,worker_2
spark-worker-3,98.92548387096774,58.86308327175926,0.22,196.56,109.75,52.925,139.06,2.615709677419355,0.03155650334282648,2.583,2.677,2.601,2.5925000000000002,2.638,worker_3
spark-worker-4,104.27806451612904,65.8408783568058,0.44,195.51,128.45,39.105000000000004,154.1,2.66858064516129,0.10394606748808023,2.366,2.757,2.687,2.676,2.7199999999999998,worker_4
spark-worker-5,100.20290322580645,61.346016887463755,6.08,198.6,111.11,50.364999999999995,133.54500000000002,2.688,0.07668420089344788,2.413,2.754,2.692,2.6875,2.7249999999999996,worker_5
