name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,51.644999999999996,19.89091375477758,37.58,65.71,51.644999999999996,44.6125,58.677499999999995,0.4166015625,0.26392208180615084,0.22998046875,0.60322265625,0.4166015625,0.323291015625,0.5099121093750001,master
spark-worker-1,16.24,14.990663761154808,5.64,26.84,16.24,10.94,21.54,0.39970703124999996,0.19334951048069654,0.26298828125,0.53642578125,0.39970703124999996,0.33134765625,0.46806640624999996,worker_1
spark-worker-2,14.04,11.115718600252526,6.18,21.9,14.04,10.11,17.97,0.40278320312500004,0.17988409814364814,0.2755859375,0.52998046875,0.40278320312500004,0.3391845703125,0.46638183593750004,worker_2
spark-worker-3,14.520000000000001,12.713779925734126,5.53,23.51,14.520000000000001,10.025,19.015,0.37241210937499997,0.18637511742407142,0.240625,0.50419921875,0.37241210937499997,0.3065185546875,0.43830566406249993,worker_3
spark-worker-4,12.924999999999999,12.692566722298526,3.95,21.9,12.924999999999999,8.4375,17.412499999999998,0.44833984375,0.24527766472408372,0.27490234375,0.62177734375,0.44833984375,0.36162109375,0.5350585937500001,worker_4
spark-worker-5,14.835,14.870455608353096,4.32,25.35,14.835,9.5775,20.0925,0.44682617187499996,0.2434132230158769,0.27470703125,0.6189453125,0.44682617187499996,0.3607666015625,0.5328857421875,worker_5
