name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,3.1628189910979225,14.524309017860537,0.25,159.01,0.56,0.44,0.83,0.8851808813983679,0.038126368993451246,0.38037109375,0.93525390625,0.88759765625,0.87109375,0.90341796875,master
spark-worker-1,175.60157270029674,46.74719306783708,0.14,206.61,198.12,187.22,200.07,6.99910475009273,2.122723358914065,0.29580078125,8.235,8.202,6.829,8.208,worker_1
spark-worker-2,148.28765578635014,77.08216204479614,0.14,208.81,197.64,100.53,200.07,6.139074925816024,1.764485945432124,0.2810546875,7.137,7.114,5.973,7.12,worker_2
spark-worker-3,119.423293768546,80.19517159872998,0.12,207.6,113.98,8.42,198.61,6.122352536164688,1.7070006994736768,0.31259765625,7.296,7.031,6.495,7.037,worker_3
spark-worker-4,126.41468842729971,66.1589255080658,0.12,208.41,114.7,100.18,198.3,6.417252944176559,1.7969513895964153,0.3169921875,7.44,7.376,6.258,7.382,worker_4
spark-worker-5,164.25127596439168,71.07055101294581,0.13,208.38,198.52,194.43,200.24,6.56192384551187,1.8600707072119598,0.42099609375,7.643,7.607,6.652,7.612,worker_5
