name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
dask-notebook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0913671875,0.0,0.0913671875,0.0913671875,0.0913671875,0.0913671875,0.0913671875,dask_notebook
dask-scheduler,12.280000000000001,6.939394786290805,6.2,19.84,10.8,8.5,15.32,0.21302083333333333,0.07817358921958863,0.12275390625,0.25830078125,0.2580078125,0.190380859375,0.258154296875,dask_scheduler
dask-worker-1,72.50666666666667,58.36714343989547,5.8,114.19,97.53,51.665,105.86,2.013,0.24775592828426915,1.784,2.276,1.979,1.8815,2.1275,dask_worker_1
dask-worker-2,62.833333333333336,53.70799785258554,5.99,112.73,69.78,37.885000000000005,91.255,1.955,0.23010432416623544,1.713,2.171,1.981,1.847,2.076,dask_worker_2
dask-worker-3,69.30666666666666,95.18595764782394,5.9,178.76,23.26,14.580000000000002,101.00999999999999,2.4963333333333337,0.19607736568337855,2.339,2.716,2.434,2.3865,2.575,dask_worker_3
dask-worker-4,127.39666666666666,106.41154887197787,5.81,203.55,172.83,89.32000000000001,188.19,2.602,0.23404059476936895,2.347,2.807,2.652,2.4995000000000003,2.7295,dask_worker_4
dask-worker-5,64.79333333333334,54.09192669274531,5.74,111.94,76.7,41.22,94.32,2.3396666666666666,0.15000444437860264,2.189,2.489,2.341,2.265,2.415,dask_worker_5
