name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,1.2536363636363637,1.3177462250510767,0.32,6.79,0.87,0.4,1.29,0.7889825994318181,0.0014612697581411775,0.7861328125,0.79296875,0.78935546875,0.787890625,0.7900390625,master
spark-worker-1,81.97212121212121,79.40949249607914,0.21,203.26,22.43,13.91,155.65,7.744818181818182,0.7860501914057971,6.339,8.572,8.027,7.097,8.552,worker_1
spark-worker-2,77.75727272727272,61.90523873594662,0.24,180.93,77.17,16.74,110.69,6.483333333333333,0.32481847494664823,5.825,6.938,6.535,6.531,6.544,worker_2
spark-worker-3,81.65424242424243,76.01980067021614,0.17,205.27,24.96,15.89,159.15,7.597484848484849,0.5431841953479112,6.046,8.087,7.719,7.481,8.055,worker_3
spark-worker-4,81.06515151515151,77.1003510498336,0.19,203.93,27.06,13.78,158.7,7.149272727272728,0.7354410357366892,6.11,8.081,7.187,6.437,7.95,worker_4
spark-worker-5,85.60393939393938,83.91418294675348,0.28,207.3,18.45,13.72,156.29,6.941363636363636,0.7515072695166446,5.604,7.686,7.151,6.45,7.666,worker_5
