name,cpu_perc_mean,cpu_perc_std,cpu_perc_min,cpu_perc_max,cpu_perc_median,cpu_perc_<lambda_0>,cpu_perc_<lambda_1>,mem_used_GB_mean,mem_used_GB_std,mem_used_GB_min,mem_used_GB_max,mem_used_GB_median,mem_used_GB_<lambda_0>,mem_used_GB_<lambda_1>,name_clean
spark-master,22.4375,43.768361004268826,0.49,88.09,0.585,0.5425,22.48,0.9223388671875,0.004000629852296797,0.9201171875,0.9283203125,0.920458984375,0.9201171875,0.9226806640625,master
spark-worker-1,90.9675,87.66423724453813,13.48,167.94,91.225,15.850000000000001,166.3425,5.043749999999999,0.0004999999999995995,5.043,5.044,5.044,5.043749999999999,5.044,worker_1
spark-worker-2,90.9525,88.0957185395522,14.43,169.02,90.17999999999999,14.79,166.3425,4.255,0.0,4.255,4.255,4.255,4.255,4.255,worker_2
spark-worker-3,92.9475,91.26208134634378,13.41,172.77,92.80499999999999,14.1675,171.585,5.88875,0.0005000000000000437,5.888,5.889,5.889,5.88875,5.889,worker_3
spark-worker-4,89.4925,87.49829193570962,13.37,174.81,84.89500000000001,14.375,160.01250000000002,4.95,0.0,4.95,4.95,4.95,4.95,4.95,worker_4
spark-worker-5,96.1725,84.03190599409251,15.91,176.89,95.94500000000001,27.835,164.2825,4.425,0.0,4.425,4.425,4.425,4.425,4.425,worker_5
